10	135374737	54	60	61
11	134452384	54	60	61
12	132349534	54	60	61
13	114142980	54	60	61
14	106368585	54	60	61
15	100338915	54	60	61
16	88827254	53	60	61
17	78774742	53	60	61
18	76117153	53	60	61
19	63811651	53	60	61
1	247249719	52	60	61
20	62435964	53	60	61
21	46944323	53	60	61
22	49691432	53	60	61
2	242951149	52	60	61
3	199501827	52	60	61
4	191273063	52	60	61
5	180857866	52	60	61
6	170899992	52	60	61
7	158821424	52	60	61
8	146274826	52	60	61
9	140273252	52	60	61
MT	16571	50	60	61
X	154913754	52	60	61
Y	57772954	57	60	61
